article_id,source_path,frontend_url,destination_path,status
0108775015,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/010/0108775015.jpg,/images/010/0108775015.jpg,/kaggle/working/hm-recommender/demo_export/public/images/010/0108775015.jpg,copied
0108775044,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/010/0108775044.jpg,/images/010/0108775044.jpg,/kaggle/working/hm-recommender/demo_export/public/images/010/0108775044.jpg,copied
0108775051,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/010/0108775051.jpg,/images/010/0108775051.jpg,/kaggle/working/hm-recommender/demo_export/public/images/010/0108775051.jpg,copied
0110065002,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0110065002.jpg,/images/011/0110065002.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0110065002.jpg,copied
0111565001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0111565001.jpg,/images/011/0111565001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0111565001.jpg,copied
0111565003,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0111565003.jpg,/images/011/0111565003.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0111565003.jpg,copied
0111586001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0111586001.jpg,/images/011/0111586001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0111586001.jpg,copied
0111593001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0111593001.jpg,/images/011/0111593001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0111593001.jpg,copied
0111609001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/011/0111609001.jpg,/images/011/0111609001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/011/0111609001.jpg,copied
0120129001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0120129001.jpg,/images/012/0120129001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0120129001.jpg,copied
0120129014,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0120129014.jpg,/images/012/0120129014.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0120129014.jpg,copied
0120129018,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0120129018.jpg,/images/012/0120129018.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0120129018.jpg,copied
0120129025,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0120129025.jpg,/images/012/0120129025.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0120129025.jpg,copied
0123173001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0123173001.jpg,/images/012/0123173001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0123173001.jpg,copied
0129085001,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0129085001.jpg,/images/012/0129085001.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0129085001.jpg,copied
0129085026,/kaggle/input/competitions/h-and-m-personalized-fashion-recommendations/images/012/0129085026.jpg,/images/012/0129085026.jpg,/kaggle/working/hm-recommender/demo_export/public/images/012/0129085026.jpg,copied
